,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
149,AD,60,F,control,nm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247,4.246999999999986
150,AD,62,S,control,nm,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.044,5.5319999999999965
151,A,64,F,treatment,nm,0.0,-10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.09899999999999,119.49
152,A,66,F,treatment,nm,0.0,-8.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.51400000000001,100.593
153,AD,68,F,control,nm,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.149000000000001,1.149000000000001
154,AD,70,S,control,nm,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.158999999999992,55.06
155,A,72,S,treatment,nm,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.620000000000005,-6.574000000000002
156,A,74,S,treatment,nm,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2809999999999917,2.2809999999999917
157,A,76,F,treatment,nm,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.707999999999984,45.21399999999999
158,A,78,F,treatment,nm,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,7.456999999999994,110.30600000000001
159,AD,80,F,control,nm,0.0,-7.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-111.127,102.445
160,BC,1,S,control,f,18.0,0.0,-2.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,-12.233,0.6780000000000115
161,BC,3,F,control,f,18.0,0.0,-1.0,3.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.16999999999999998,0.1700000000000017
162,B,5,F,treatment,f,28.0,0.0,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.7420000000000009,70.866
163,B,7,F,treatment,f,0.0,0.0,-1.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9889999999999999,-0.6140000000000043
164,BC,9,S,control,f,5.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-4.952999999999999,9.520999999999994
165,BC,13,S,control,f,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.391,-7.348000000000027
166,BC,15,F,control,f,-31.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,45.997,-0.13100000000000023
167,B,17,F,treatment,f,-23.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,0.0,-1.0,64.50800000000001,-1.3250000000000028
168,B,19,F,treatment,f,-23.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.457,69.54400000000001
169,B,21,S,treatment,f,8.0,-1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.92099999999999,-20.635000000000005
170,B,23,S,treatment,f,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928,2.9279999999999973
171,BC,25,S,control,f,-16.0,-3.0,7.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,145.6,168.526
172,BC,27,F,control,f,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.929,-5.440999999999988
173,BC,29,F,control,f,-6.0,0.0,1.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,99.904,2.2220000000000084
174,B,31,S,treatment,f,-13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.478,31.111000000000004
175,B,33,S,treatment,f,-18.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17100000000000026,-26.982
176,B,35,S,treatment,f,27.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-120.502,43.545
177,B,37,S,treatment,f,-31.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.503,1.5030000000000143
