,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
92,AD,26,F,control,nf,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.236999999999995,112.71199999999999
93,AD,28,S,control,nf,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7120000000000033,48.303
94,AD,30,S,control,nf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.533000000000001,-34.67
95,AD,32,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.285,43.285
96,AD,34,F,treatment,nf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.182,-0.5919999999999987
97,AD,36,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0
98,AD,38,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28,55.28
99,AD,40,F,control,nf,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.75900000000001,-0.8150000000000119
100,AD,42,S,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.588000000000008,11.588000000000008
101,AD,44,F,control,nf,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.739999999999995,16.739999999999995
102,AD,46,S,control,nf,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.699999999999989,7.699999999999989
103,AD,48,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2650000000000006,-1.2650000000000006
104,AD,50,F,treatment,nf,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.201,3.591000000000008
105,AD,52,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.638999999999996,-30.638999999999996
106,AD,54,F,treatment,nf,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.65299999999999,0.3299999999999983
107,AD,56,F,control,nf,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999818,16.903000000000006
108,AD,58,S,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915000000000006,8.915000000000006
109,AD,60,F,control,nf,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247,4.247
110,AD,62,S,control,nf,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.638,-24.973
111,AD,64,F,treatment,nf,0.0,-2.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,7.160999999999987,61.847999999999985
112,AD,66,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.467000000000013,-2.467000000000013
113,AD,68,F,control,nf,0.0,0.0,9.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.149000000000001,114.243
114,AD,70,S,control,nf,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,8.158999999999992,109.089
115,AD,72,S,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.963999999999999,7.963999999999999
116,AD,74,S,treatment,nf,0.0,-7.0,1.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0,2.346999999999994,119.868
117,AD,76,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.373999999999995,6.373999999999995
118,AD,78,F,treatment,nf,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7369999999999948,8.322999999999993
119,AD,80,F,control,nf,0.0,-2.0,0.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,-102.314,101.489
120,AD,2,F,control,nm,-7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.313999999999998,4.659999999999997
121,AD,4,S,control,nm,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-45.973,-58.73799999999999
122,AD,6,S,treatment,nm,0.0,-2.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,14.979,80.916
123,AD,8,S,treatment,nm,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.325000000000003,89.453
124,AD,10,F,control,nm,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,25.245999999999995,69.434
125,AD,12,S,control,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.491,5.491
126,AD,14,F,control,nm,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.724000000000004,11.373000000000005
127,AD,16,S,control,nm,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.8160000000000025,74.712
128,AD,18,S,treatment,nm,0.0,-6.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.5919999999999987,106.386
129,AD,20,S,treatment,nm,4.0,-1.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-33.56,118.504
130,AD,22,F,treatment,nm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,-8.073999999999998
131,AD,24,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.00199999999998,-17.00199999999998
132,AD,26,F,control,nm,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.236999999999995,113.46799999999999
133,AD,28,S,control,nm,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.21300000000001,-77.107
134,AD,30,S,control,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533000000000001,4.533000000000001
135,AD,32,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.285,43.285
136,AD,34,F,treatment,nm,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.702,29.107
137,AD,36,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0
138,AD,38,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28,55.28
139,AD,40,F,control,nm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.174,-0.8150000000000119
140,AD,42,S,control,nm,-1.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,79.625,116.269
141,AD,44,F,control,nm,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.97899999999998,16.739999999999995
