status,cond,pair_id,subject,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
F,treatment,71,male,23.0,0.0,-3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.54400000000001,-74.809
F,treatment,73,female,7.0,1.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-27.503,0.0,0.0,19.432000000000002,22.841
F,treatment,73,male,6.0,4.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,-40.385,0.0,0.0,19.432000000000002,19.432
F,treatment,76,female,-8.0,6.0,-2.0,-3.0,-2.0,14.0,0.0,0.0,0.0,0.0,-3.133,0.0,0.0,11.836000000000002,45.194
F,treatment,76,male,-9.0,0.0,1.0,2.0,3.0,-8.0,0.0,0.0,-1.0,0.0,-3.133,0.0,0.0,30.429000000000002,26.768
F,treatment,78,female,0.0,1.0,-5.0,-3.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-65.435,-19.711
F,treatment,78,male,7.0,0.0,-7.0,2.0,-1.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.244,114.982
S,control,1,female,-12.0,0.0,-25.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,-10.036,0.0,0.0,77.863,52.737
S,control,1,male,-41.0,1.0,-21.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,-6.665,0.0,0.0,1.9240000000000066,52.737
S,control,4,female,-29.0,-1.0,-5.0,0.0,-4.0,-17.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,123.062,-2.4510000000000005
S,control,4,male,-65.0,2.0,-7.0,0.0,-9.0,-1.0,0.0,0.0,1.0,0.0,-5.747,0.0,0.0,4.173999999999992,86.641
S,control,9,female,5.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7150000000000034,2.7150000000000034
S,control,9,male,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7150000000000034,113.5
S,control,12,female,33.0,-1.0,-7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,-99.047,0.0,0.0,33.518,22.243000000000002
S,control,12,male,49.0,0.0,-11.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-42.721,0.0,0.0,19.756,22.243000000000002
S,control,13,female,-35.0,0.0,-1.0,0.0,-5.0,-3.0,0.0,0.0,0.0,0.0,-13.185,0.0,0.0,-3.155000000000001,111.14699999999999
S,control,13,male,-26.0,0.0,2.0,0.0,-3.0,-2.0,0.0,0.0,0.0,0.0,-17.325,0.0,0.0,-3.155000000000001,112.45599999999999
S,control,16,female,-16.0,-1.0,-1.0,-1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,46.658,-45.709
S,control,16,male,-36.0,-1.0,-7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,47.25099999999999,101.647
S,control,25,female,-83.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,34.400000000000006,127.83600000000001
S,control,25,male,-98.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-5.066,0.0,0.0,34.400000000000006,34.4
S,control,28,female,-54.0,-7.0,-12.0,-4.0,-2.0,8.0,-1.0,0.0,0.0,0.0,-6.459,-4.0,0.0,71.34100000000001,3.3470000000000004
S,control,28,male,-34.0,1.0,-6.0,0.0,-1.0,4.0,-1.0,0.0,0.0,0.0,-54.346,-1.0,0.0,65.714,5.319
S,control,29,female,-5.0,-14.0,-1.0,-1.0,12.0,20.0,0.0,0.0,0.0,0.0,-14.507,0.0,0.0,162.173,226.59400000000002
S,control,29,male,-12.0,-3.0,-4.0,-1.0,8.0,13.0,0.0,0.0,0.0,0.0,-11.306,0.0,0.0,34.11800000000001,60.793
S,control,40,female,-48.0,-1.0,-6.0,0.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,53.04599999999999,41.691
S,control,40,male,-40.0,-2.0,-5.0,0.0,18.0,19.0,1.0,0.0,0.0,0.0,-8.446,-1.0,0.0,53.04599999999999,53.836999999999996
S,control,41,female,-1.0,-1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,-15.0,0.0,26.357,-21.403
S,control,41,male,-62.0,-1.0,-8.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,6.870999999999995,-7.944000000000001
S,control,44,female,-13.0,-1.0,-2.0,0.0,-4.0,33.0,0.0,0.0,0.0,0.0,-31.953,-1.0,0.0,-53.102000000000004,38.312
S,control,44,male,-12.0,0.0,-8.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,-34.626,0.0,0.0,-29.700000000000003,137.582
S,control,45,female,-15.0,-3.0,-6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-42.997,-4.0,0.0,-94.473,31.79
S,control,45,male,19.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.616,0.0,0.0,25.526999999999987,34.657
